"Ref","Status","OccCode","OccDescription","Refund","Estimate","TaxIncome","LodgeDate"
"BAID0001","6","441312","Police officer","Y","12369.17","129297","08/07/2023"
"BAIL0001","6","441312","Police officer","Y","9196.74","80243","10/07/2023"
"BAIL0002","10","","","","0.00","0",""
"BALL0001","10","132211","Financial administration","","0.00","0",""
"BALL0002","6","441312","Police officer","Y","2002.09","97107","14/07/2023"
"BARB0001","10","","","","0.00","0",""
"BARC0001","10","","","","0.00","0",""
"BARD0001","10","","","","0.00","0",""
"BARF0001","6","441312","Police officer","Y","1148.06","86845","07/08/2023"
"BARI0001","10","","","","0.00","0",""
"BARN0001","10","","","","0.00","0",""
"BARN0002","10","","","","0.00","0",""
"BARN0003","10","","","","0.00","0",""
"BARR0001","6","441312","Police officer","Y","2794.26","116293","22/07/2023"
"BARR0002","10","","","","0.00","0",""
"BARS0001","0","","","","0.00","0",""
"BARU0001","10","","","","0.00","0",""
"BATE0001","10","","","","0.00","0",""
"BATH0001","10","","","","0.00","0",""
"BATT0001","0","","","","0.00","0",""
"BAUL0001","10","","","","0.00","0",""
"BAUL0002","10","","","","0.00","0",""
"BAYK0001","6","441312","Police officer","Y","9059.94","109548","22/07/2023"
"BAYN0001","6","441312","Police officer","Y","2807.45","97100","19/07/2023"
"BEAN0001","4","441312","Police officer","Y","384.08","105336",""
"BEHA0001","10","","","","0.00","0",""
"BELL0001","6","441312","Police officer","Y","872.49","58507","22/07/2023"
"BELL0002","10","","","","0.00","0",""
"BELL0003","6","441312","Police officer","Y","1075.91","85005","28/07/2023"
"BELL0004","1","","","","0.00","0",""
"BELL0005","1","","","","1442.95","200770",""
"BENG0001","10","","","","683.10","116750",""
"BENK0001","10","","","","0.00","0",""
"BENN0001","6","441312","Police officer","Y","1228.52","97082","19/07/2023"
"BENN0002","10","","","","0.00","0",""
"BENN0003","10","","","","0.00","0",""
"BENN0004","0","","","","0.00","0",""
"BEVI0001","6","441312","Police officer","Y","1471.06","102860","05/08/2023"
"BIDE0001","6","441312","Police officer","Y","1658.40","125387","14/07/2023"
"BILS0001","6","599599","Fraud investigator","Y","1017.36","122276","11/08/2023"
"BINZ0001","10","","","","0.00","0",""
"BIRD0001","10","","","","0.00","0",""
"BIRR0001","0","","","","0.00","0",""
"BISH0001","6","441312","Police officer","Y","8788.62","103404","10/07/2023"
"BLAB0001","10","","","","0.00","0",""
"BLAB0002","10","","","","0.00","0",""
"BLAC0001","6","441312","Police officer","Y","4022.55","105039","05/08/2023"
"BOJC0001","0","","","","0.00","0",""
"BOLG0001","10","","","","0.00","0",""
"BOOT0001","10","","","","0.00","0",""
"BORK0001","10","","","","0.00","0",""
"BORT0001","10","","","","0.00","0",""
"BOUG0001","6","441312","Police officer","Y","1685.34","92057","19/07/2023"
"BOUR0001","6","441312","Police Officer","Y","1326.44","92397","09/08/2023"
"BOWM0001","10","","","","0.00","0",""
"BOYC0001","10","441312","Police officer","Y","1736.07","121387",""
"BOYL0001","10","","","","0.00","0",""
"BRAD0001","0","","","","0.00","0",""
"BRAD0002","10","","","","0.00","0",""
"BRAG0001","6","441312","Police officer","Y","1010.49","130109","22/07/2023"
"BRAI0001","10","","","","0.00","0",""
"BRAU0001","0","","","","0.00","0",""
"BRAY0001","6","441312","Police officer","Y","1852.19","92904","19/07/2023"
"BREC0001","10","","","","0.00","0",""
"BREE0001","10","","","","0.00","0",""
"BRID0001","6","441312","Police officer","Y","2742.32","120998","22/07/2023"
"BRIS0001","6","441312","Police officer","Y","1409.84","93557","22/07/2023"
"BRIT0001","10","","","","0.00","0",""
"BRIT0002","10","","","","882.35","90263",""
"BROM0001","10","441312","Police officer","Y","1507.98","111355",""
"BROO0001","10","","","","0.00","0",""
"BROO0002","6","441312","Police officer","","196.00","84607","28/07/2023"
"BROO0003","6","441312","Police officer","Y","701.72","111610","26/07/2023"
"BROW0001","6","441312","Police officer","Y","531.83","83896","22/07/2023"
"BROW0002","10","","","","0.00","0",""
"BROW0003","10","","","","0.00","0",""
"BROW0004","10","","","","0.00","0",""
"BROW0005","10","","","","0.00","0",""
"BROW0006","10","","","","0.00","0",""
"BROW0007","0","","","","0.00","0",""
"BROW0008","10","","","","1407.00","117628",""
"BUCH0001","6","441312","Police officer","Y","1181.42","54888","10/07/2023"
"BUCK0001","6","441312","Police officer","Y","1110.38","92408","22/07/2023"
"BUCK0002","6","612112","Manager - real estate property","","2600.30","97139","22/07/2023"
"BUDH0001","10","","","","0.00","0",""
"BUDH0002","10","","","","0.00","0",""
"BUDI0001","0","","","","0.00","0",""
"BUFF0001","10","","","","0.00","0",""
"BUFF0002","10","","","","0.00","0",""
"BULL0001","10","","","","0.00","0",""
"BULL0002","10","","","","0.00","0",""
"BUNT0001","10","","","","0.00","0",""
"BURN0001","6","441312","Police Officer","Y","682.36","86466","02/08/2023"
"BURT0001","6","441312","Police officer","Y","1011.15","97386","22/07/2023"
"BURT0002","6","899914","Electrician","Y","2165.48","68455","10/07/2023"
"BUTT0001","10","","","","0.00","0",""
"BUTT0002","6","441312","Police officer","Y","1501.01","95971","22/07/2023"
"BUTT0003","0","","","","0.00","0",""
"BYSO0001","10","","","","0.00","0",""
"CAIL0001","6","133111","Building and construction","Y","5496.00","20613","28/07/2023"
"CALL0001","6","441312","Police officer","","2299.85","124822","02/08/2023"
"CALV0001","10","","","","0.00","0",""
"CAMM0001","10","","","","0.00","0",""
"CAMP0001","10","","","","0.00","0",""
"CARF0001","10","441312","Police officer","Y","580.93","111057",""
"CARL0001","6","441312","Police officer","Y","1757.98","97745","02/08/2023"
"CARL0002","0","","","","0.00","0",""
"CARL0003","6","441312","Police officer","","947.95","89707","09/08/2023"
"CARR0001","10","","","","0.00","0",""
"CARR0002","0","","","","0.00","0",""
"CARR0003","10","","","","0.00","0",""
"CART0001","10","","","","0.00","0",""
"CART0002","10","","","","0.00","0",""
"CART0003","10","","","","0.00","0",""
"CART0004","10","441312","Police officer","","1029.25","124075",""
"CAST0001","6","441312","Police officer","Y","4214.28","75776","11/08/2023"
"CEFA0001","0","","","","0.00","0",""
"CHAD0001","6","441312","Police officer","","8844.10","122845","26/07/2023"
"CHAM0001","10","","","","0.00","0",""
"CHAM0002","10","","","","0.00","0",""
"CHAN0001","10","","","","0.00","0",""
"CHAP0001","6","441312","Police officer","Y","11202.29","109747","26/07/2023"
"CHAU0001","0","","","","0.00","0",""
"CHAU0002","1","","","","962.20","92640",""
"CHEE0001","0","","","","0.00","0",""
"CHEE0002","0","","","","0.00","0",""
"CHER0001","0","","","","0.00","0",""
"CHID0001","6","441312","Police officer","Y","442.01","82548","05/08/2023"
"CHID0002","10","441312","Police officer","Y","467.02","109187",""
"CHIE0001","0","","","","0.00","0",""
"CHIL0001","6","441312","Police officer","Y","848.42","101196","29/06/2023"
"CHIT0001","10","","","","0.00","0",""
"CHON0001","0","","","","0.00","0",""
"CHRI0001","10","","","","0.00","0",""
"CHRI0002","10","","","","0.00","0",""
"CHRI0003","1","441312","Police officer","Y","1168.52","149233",""
"CHUR0001","10","","","","0.00","0",""
"CHUR0002","10","","","","0.00","0",""
"CHUR0003","10","","","","0.00","0",""
"CLAP0001","10","","","","0.00","0",""
"CLAR0001","0","","","","0.00","0",""
"CLAR0002","6","441312","Police officer","Y","408.20","142032","19/07/2023"
"CLAR0003","6","441312","Police officer","Y","960.84","47568","19/07/2023"
"CLAY0001","6","","","Y","328.50","19379","26/07/2023"
"CLAY0002","6","","","Y","328.50","19279","26/07/2023"
"CLIM0001","10","","","","0.00","0",""
"CLOU0001","6","441312","Police officer","Y","1221.10","111552","14/07/2023"
"CLOU0002","6","254111","Nurse","Y","654.08","70165","14/07/2023"
"CLOV0001","10","","","","0.00","0",""
"CLOV0002","10","","","","0.00","0",""
"CLOV0003","10","","","","0.00","0",""
"CLOW0001","10","","","","0.00","0",""
"COAK0001","10","","","","0.00","0",""
"COAT0001","10","441312","Police officer","","1389.55","100824",""
"COAT0002","6","441312","Police officer","Y","9316.48","111645","28/07/2023"
"COLE0001","6","441312","Police officer","Y","8409.27","105520","22/07/2023"
"COLE0002","10","","","","0.00","0",""
"COLL0001","0","","","","0.00","0",""
"COND0001","6","441312","Police officer","Y","152.95","106014","14/07/2023"
"COND0002","10","","","","0.00","0",""
"COOK0001","10","","","","0.00","0",""
"COOP0001","10","","","","0.00","0",""
"CORR0001","10","","","","0.00","0",""
"CORR0002","0","","","","0.00","0",""
"CORR0003","6","441312","Police officer","Y","9249.06","96081","19/07/2023"
"COUL0001","6","441312","Police officer","Y","921.45","59971","08/07/2023"
"COUR0001","10","","","","0.00","0",""
"COUT0001","6","441312","Police officer","Y","1205.28","121991","14/07/2023"
"COUW0001","0","","","","0.00","0",""
"COX00001","0","","","","0.00","0",""
"CRAC0001","0","","","","0.00","0",""
"CRAC0002","0","","","","0.00","0",""
"CRIC0001","10","","","","0.00","0",""
"CROS0001","0","","","","0.00","0",""
"CRYE0001","10","","","","0.00","0",""
"CUBE0001","0","","","","0.00","0",""
"CUBI0001","6","441312","Police officer","Y","1050.67","105143","10/07/2023"
"CUNN0001","6","441312","Police officer","Y","8689.31","114431","30/07/2023"
"CURN0001","10","","","","0.00","0",""
"CURN0002","10","","","","0.00","0",""
"CURT0001","10","","","","0.00","0",""
"CUSW0001","10","","","","0.00","0",""
"CUTL0001","6","441312","Police officer","Y","1548.65","122063","10/07/2023"
"CYBE0001","0","","","","0.00","0",""
"CZAR0001","10","","","","0.00","0",""
"DAGO0001","10","","","","0.00","0",""
"DAGO002","10","","","","0.00","0",""
"DAHI0001","1","","","","505.75","92481",""
"DAHL0001","0","","","","0.00","0",""
"DALL0001","10","","","","0.00","0",""
"DALT0001","10","","","","0.00","0",""
"DALY0001","5","441312","Police officer","Y","1240.51","110058",""
"DARC0001","0","","","","0.00","0",""
"DART0001","10","","","","0.00","0",""
"DARV0001","10","","","","0.00","0",""
"DAVE0001","10","","","","0.00","0",""
"DAVI0001","10","","","","0.00","0",""
"DAVI0002","6","441312","Police officer","Y","1511.27","76863","10/07/2023"
"DAVI0003","6","599599","Investigator - other","Y","6854.99","79858","19/07/2023"
"DAVI0004","4","","","","1648.45","49070",""
"DAVI0005","4","232212","Surveyor - land","Y","1605.86","55506",""
"DAVI0006","10","","","","0.00","0",""
"DAVI0007","1","441312","Police officer","Y","888.50","83700",""
"DAWO0001","10","","","","0.00","0",""
"DAWS0001","6","441312","Police officer","","192.90","104867","09/08/2023"
"DAY00001","10","","","","0.00","0",""
"DEAD0001","6","254111","Nurse","","3606.20","87048","22/07/2023"
"DEAD0002","6","441312","Police officer","Y","1002.02","103626","26/07/2023"
"DEAS0001","0","139112","Fire officer - commissioned","Y","1480.81","172321",""
"DEAS0002","0","441312","Police officer","Y","122.44","110077",""
"DEJO0001","10","","","","0.00","0",""
"DEJO0002","10","","","","0.00","0",""
"DEKK0001","6","441312","Police officer","Y","1255.03","120591","14/07/2023"
"DELO0001","1","","","Y","5112.10","104920",""
"DEMP0001","10","","","","0.00","0",""
"DEMP0002","10","","","","0.00","0",""
"DENT0001","10","","","","0.00","0",""
"DENT0002","10","","","","0.00","0",""
"DEPP0001","10","","","","0.00","0",""
"DEPY0001","0","","","","0.00","0",""
"DIAZ0001","6","441312","Police officer","Y","2889.54","94812","14/07/2023"
"DICK0001","10","","","","0.00","0",""
"DICK0002","6","441312","Police officer","Y","1366.64","83588","19/07/2023"
"DIEN0001","10","","","","0.00","0",""
"DINC0001","10","","","","0.00","0",""
"DINE0001","10","","","","0.00","0",""
"DISK0001","10","","","","0.00","0",""
"DISS0001","10","","","","0.00","0",""
"DITT0001","0","","","","0.00","0",""
"DOBB0001","6","441312","Police officer","Y","1362.49","45557","09/08/2023"
"DODS0001","10","","","","0.00","0",""
"DODS0002","6","139112","Fire officer - commissioned","Y","3630.26","90782","28/07/2023"
"DOID0001","0","","","","0.00","0",""
"DONA0001","10","","","","0.00","0",""
"DONE0001","6","441312","Police officer","Y","7088.53","111325","10/07/2023"
"DONG0001","10","","","","0.00","0",""
"DONN0001","10","","","","0.00","0",""
"DORS0001","6","441312","Police officer","Y","9819.81","112568","19/07/2023"
"DOUG0001","10","","","","0.00","0",""
"DOUG0002","10","","","","0.00","0",""
"DOWE0001","10","","","","0.00","0",""
"DOWN0001","0","","","","0.00","0",""
"DOWT0001","6","441312","Police officer","Y","5694.42","98024","08/07/2023"
"DRUM0001","6","441312","Police officer","Y","1347.69","71627","30/07/2023"
"DUFF0001","0","","","","0.00","0",""
"DULL0001","6","441312","Police officer","Y","3990.09","100511","22/07/2023"
"DUND0001","10","","","","0.00","0",""
"DUNN0001","10","","","","0.00","0",""
"DUNN0002","6","441312","Police officer","Y","4539.93","104547","28/07/2023"
"DUNS0001","0","","","","0.00","0",""
"DUR0001","10","","","","0.00","0",""
"DYKS0001","6","441312","Police officer","Y","2291.27","93663","28/07/2023"
"EADE0001","6","254111","Nurse","Y","6035.58","40781","22/07/2023"
"EBEL0275","10","","","","0.00","0",""
"EBER0001","10","441312","Police officer","","849.60","77825",""
"EBER0002","6","","","","0.00","-979","09/08/2023"
"EBER0003","10","","","","0.00","0",""
"EDWA0001","10","","","","0.00","0",""
"EDWA0002","6","441312","Police officer","Y","2536.19","69739","28/07/2023"
"EGAN0001","0","","","","0.00","0",""
"EGAN0002","10","","","","0.00","0",""
"EGAN0003","10","","","","0.00","0",""
"EGUC0001","6","441312","Police officer","Y","996.90","80090","19/07/2023"
"ELAZ0001","6","441312","Police officer","Y","1020.69","65587","06/08/2023"
"ELFO0001","1","441312","Police officer","","271.80","131542",""
"ELFR0001","10","441312","Police officer","Y","280.92","111511",""
"ELOV0001","6","441312","Police officer","Y","125.13","106995","06/08/2023"
"ELY00001","10","","","","0.00","0",""
"ENGL0001","10","","","","0.00","0",""
"ERIC0001","10","","","","0.00","0",""
"EVAN0001","6","441312","Police officer","Y","1775.38","100557","28/07/2023"
"EVAN0002","6","441312","Police officer","Y","6057.87","85754","19/07/2023"
"EVAN0003","6","441312","Police officer","Y","4464.68","98456","08/07/2023"
"EWAR0001","10","","","","0.00","0",""
"EXTO0001","10","441312","Police officer","Y","1064.33","142835",""
"EYRE0001","6","441312","Police officer","Y","1123.19","104824","28/07/2023"
"FAHE0001","10","","","","0.00","0",""
"FALV0001","10","","","","0.00","0",""
"FARM0001","10","","","","0.00","0",""
"FARR0001","1","959901","Depart- justice and legal services","","2000.85","99699",""
"FAUL0001","6","441312","Police officer","Y","1837.28","107141","14/07/2023"
"FAVA0001","10","","","","0.00","0",""
"FAWC0001","10","441312","Police officer","Y","578.92","125872",""
"FAWC0002","10","","","","0.00","0",""
"FELE0001","10","","","","0.00","0",""
"FELT0001","10","","","","0.00","0",""
"FERD0001","10","","","","0.00","0",""
"FERD0002","10","","","","0.00","0",""
"FERN0003","10","","","","0.00","0",""
"FERR0001","6","441312","Police officer","Y","1244.76","97857","22/07/2023"
"FIDL0001","10","","","","0.00","0",""
"FIDL0002","10","","","","0.00","0",""
"FIEL0001","10","","","","0.00","0",""
"FIEL0002","4","441312","Police officer","Y","10213.05","116705",""
"FIEL0003","6","532112","Court reporter","Y","13099.68","119622","01/08/2023"
"FIOR0001","10","","","","0.00","0",""
"FIOR0002","6","441312","Police officer","Y","893.63","111759","22/07/2023"
"FISH0001","0","","","","0.00","0",""
"FISK0001","6","441312","Police officer","Y","1644.39","131692","19/07/2023"
"FITZ0001","10","","","","0.00","0",""
"FLAN0001","6","441312","Police officer","Y","3990.07","101800","19/07/2023"
"FLOR0001","10","","","","0.00","0",""
"FORD0001","6","441312","Police officer","Y","2062.41","151473","30/07/2023"
"FORD0002","6","133112","ProjectLeader-Allied health","Y","9115.34","106932","30/07/2023"
"FORD0003","10","","","","0.00","0",""
"FORS0324","6","441312","Police officer","Y","501.36","85359","22/07/2023"
"FOST0002","6","441312","Police officer","Y","745.46","79279","28/07/2023"
"FOUR0001","10","","","","0.00","0",""
"FOX00001","10","","","","0.00","0",""
"FOX00002","10","","","","0.00","0",""
"FREE0001","10","","","","0.00","0",""
"FREN0001","10","241213","School teacher","Y","81.50","108500",""
"FRIE0001","10","","","","0.00","0",""
"FRIT0001","10","","","","0.00","0",""
"FROS0001","6","441312","Police officer","Y","1227.91","144185","11/08/2023"
"FROS0002","6","441312","Police officer","Y","3415.37","107143","08/07/2023"
"GAJI0001","6","441312","Police officer","Y","2031.48","98245","26/07/2023"
"GALL0001","10","","","","0.00","0",""
"GALN0001","10","","","","0.00","0",""
"GALT0001","10","","","","0.00","0",""
"GAMB0001","10","","","","0.00","0",""
"GAMB0002","0","","","","0.00","0",""
"GAY00001","10","","","","0.00","0",""
"GENT0001","10","","","","0.00","0",""
"GEOR0001","10","","","","0.00","0",""
"GIAN0001","4","","","","1093.90","94499",""
"GIBB0001","6","441312","Police officer","Y","6526.50","118421","19/07/2023"
"GIDD0001","6","441312","Police officer","Y","5724.45","91810","19/07/2023"
"GILD0001","10","","","","0.00","0",""
"GILD0002","10","","","","0.00","0",""
"GILL0001","10","","","","0.00","0",""
"GILM0001","10","","","","0.00","0",""
"GILM0002","6","441312","Police officer","Y","924.87","81554","22/07/2023"
"GIOV0001","10","","","","0.00","0",""
"GIOV0002","10","","","","0.00","0",""
"GIOV0003","10","","","","0.00","0",""
"GIOV0004","10","","","","0.00","0",""
"GIOV0005","10","","","","0.00","0",""
"GIRI0001","6","441312","Police officer","Y","1045.70","95713","19/07/2023"
"GIVN0001","10","","","","0.00","0",""
"GLAD0001","0","","","","0.00","0",""
"GLEE0001","6","421111","Child carer","Y","1855.75","27465","14/07/2023"
"GLEE0002","6","441312","Police officer","Y","2725.06","113881","14/07/2023"
"GLEN0001","10","","","","0.00","0",""
"GODD0001","0","","","","0.00","0",""
"GOGA0001","6","441312","Police officer","Y","1003.87","95237","06/08/2023"
"GOLD0001","10","","","","0.00","0",""
"GOLD0002","10","","","","0.00","0",""
"GOLD0003","10","","","","0.00","0",""
"GOME0001","1","","","Y","990.80","45933",""
"GOOD0001","6","441312","Police officer","Y","7459.07","114224","10/07/2023"
"GOPA0001","10","","","","0.00","0",""
"GORD0001","6","441312","Police officer","Y","2088.23","143113","26/07/2023"
"GORD0002","10","","","","0.00","0",""
"GORD0003","6","241213","Primary school teacher","Y","1651.57","44309","26/07/2023"
"GORO0001","6","441312","Police officer","Y","1073.80","104989","09/08/2023"
"GOSL0001","10","","","","0.00","0",""
"GOTC0001","10","","","","0.00","0",""
"GOUL0001","0","","","","0.00","0",""
"GRAH0001","6","441312","Police officer","Y","679.57","97942","22/07/2023"
"GRAH0002","0","","","","0.00","0",""
"GRAN0001","10","","","","0.00","0",""
"GRAN0002","10","","","","0.00","0",""
"GRAY0001","0","","","","0.00","0",""
"GRAY0002","10","","","","0.00","0",""
"GRAY0003","10","","","Y","2913.28","36076",""
"GREE0001","6","441312","Police officer","Y","7221.84","96416","26/07/2023"
"GREE0002","0","","","","0.00","0",""
"GREE0003","10","","","","0.00","0",""
"GREI0001","10","","","","0.00","0",""
"GREI0002","10","","","","0.00","0",""
"GREY0001","6","441312","Police officer","Y","1011.93","89406","26/07/2023"
"GRIB0001","6","441312","Police officer","Y","6367.85","95637","08/07/2023"
"GROO0001","10","","","","0.00","0",""
"GROS0001","6","","","Y","25.00","20163","07/08/2023"
"GROS0002","6","","","Y","530.00","21819","05/08/2023"
"GUER0001","10","","","","0.00","0",""
"GUNN0001","10","","","","0.00","0",""
"GUNN0002","10","","","","0.00","0",""
"GUTT0001","0","","","","0.00","0",""
"GWYN0001","6","441312","Police officer","Y","4830.72","106360","14/07/2023"
"HABE0001","10","","","","0.00","0",""
"HAGE0001","10","","","","0.00","0",""
"HAGE0002","10","","","","0.00","0",""
"HAIG0001","10","","","","0.00","0",""
"HALL0001","10","","","","0.00","0",""
"HALL0002","6","441312","Police officer","Y","351.04","158464","02/08/2023"
"HAMW0001","6","441312","Police officer","Y","4295.87","74954","19/07/2023"
"HANS0001","6","441312","Police officer","Y","9323.74","108108","10/07/2023"
"HANS0002","10","","","","0.00","0",""
"HANV0001","10","441312","Police officer","Y","4213.59","79173",""
"HARD0001","10","","","","0.00","0",""
"HARD0002","0","","","","0.00","0",""
"HARD0003","0","","","","0.00","0",""
"HARD0004","10","","","","0.00","0",""
"HARK0001","6","441312","Police officer","Y","3016.75","92768","22/07/2023"
"HARR0001","6","441312","Police officer","Y","1631.38","106134","30/07/2023"
"HARR0002","10","","","","0.00","0",""
"HARR0003","10","","","","0.00","0",""
"HART0001","6","441312","Police officer","Y","1707.58","113036","09/08/2023"
"HARV0001","10","","","","0.00","0",""
"HARV0002","10","","","","0.00","0",""
"HARV0003","6","442111","Prison officer or warder","Y","1759.44","87744","10/07/2023"
"HAST0001","10","","","","0.00","0",""
"HATZ0001","0","","","","0.00","0",""
"HATZ0002","10","","","","0.00","0",""
"HAWO0001","10","","","","0.00","0",""
"HAYD0001","10","","","","0.00","0",""
"HAYL0001","10","","","","0.00","0",""
"HAYL0002","10","","","","0.00","0",""
"HEAD0001","10","","","","0.00","0",""
"HEAD0002","6","441312","Police officer","Y","6063.43","91781","14/07/2023"
"HEAL0001","10","","","","0.00","0",""
"HEAL0002","10","","","","0.00","0",""
"HEAR0001","10","","","","0.00","0",""
"HEAR0002","10","","","","0.00","0",""
"HEAR0003","10","","","","0.00","0",""
"HEMB0001","6","441312","Police officer","Y","1911.85","83899","07/08/2023"
"HENS0001","6","441312","Police officer","Y","1132.44","85277","26/07/2023"
"HERO0001","0","","","","0.00","0",""
"HESS0001","10","","","","0.00","0",""
"HESS0002","10","","","","0.00","0",""
"HEST0001","10","","","","0.00","0",""
"HICK0001","10","","","","0.00","0",""
"HIGG0001","10","","","","2206.45","151890",""
"HILG0001","10","","","","0.00","0",""
"HILL0001","6","441312","Police officer","Y","1126.12","107533","08/07/2023"
"HILL0002","6","441312","Police officer","Y","800.83","135403","06/08/2023"
"HILL0003","0","","","","0.00","0",""
"HILL0004","6","139111","Air force - security police officer","Y","2239.31","166841","22/07/2023"
"HILL0005","6","831111","Factory worker","","1426.40","42444","22/07/2023"
"HOCK0001","10","","","","0.00","0",""
"HOCK0002","10","","","","0.00","0",""
"HOGA0001","6","441312","Police officer","Y","381.57","93288","30/07/2023"
"HOLC0001","10","","","","0.00","0",""
"HOLL0001","0","","","","0.00","0",""
"HOLL0002","10","","","","0.00","0",""
"HOLL0003","10","","","","0.00","0",""
"HOOK0001","6","441312","Police officer","","2365.75","125016","19/07/2023"
"HOUG0001","10","","","","0.00","0",""
"HOUG0002","10","","","","0.00","0",""
"HOUL0001","6","441312","Police officer","Y","476.54","78468","22/07/2023"
"HOWA0001","6","441312","Police officer","Y","2008.04","142339","19/07/2023"
"HOWE0001","6","441312","Police officer","","502.05","123367","09/08/2023"
"HOWE0002","10","","","","0.00","0",""
"HUA00001","10","","","","0.00","0",""
"HUCK0001","10","","","","0.00","0",""
"HUF0001","10","","","","0.00","0",""
"HUGH0001","0","","","","0.00","0",""
"HUGO0001","10","","","","0.00","0",""
"HULT0001","10","","","","0.00","0",""
"HUMP0001","10","","","","0.00","0",""
"HUMP0002","10","","","","0.00","0",""
"HUNK0001","6","441312","Police officer","Y","5448.68","50712","02/08/2023"
"HUNT0001","10","","","","0.00","0",""
"HUNT0002","10","","","","0.00","0",""
"HUYB0001","10","","","","0.00","0",""
"IANS0001","10","","","","0.00","0",""
"IANZ0001","10","","","","0.00","0",""
"IANZ0002","10","","","","0.00","0",""
"ILES0001","10","","","","0.00","0",""
"IORD0001","6","441312","Police officer","Y","1262.50","78929","14/07/2023"
"JACK0001","10","","","","0.00","0",""
"JACK0002","10","","","","0.00","0",""
"JACK0003","10","","","","0.00","0",""
"JACK0004","10","","","","0.00","0",""
"JACK0005","6","441312","Police officer","Y","2922.21","117803","07/08/2023"
"JACO0001","10","","","","0.00","0",""
"JACO0002","6","441312","Police officer","Y","235.76","124054","26/07/2023"
"JAKO0003","10","611211","Retail assistant","","546.70","49527",""
"JAME0001","6","323212","Fitter and turner","Y","842.45","96019","05/08/2023"
"JAME0002","10","","","","0.00","0",""
"JAME0003","10","","","","0.00","0",""
"JAMI0001","10","","","","0.00","0",""
"JANI0001","0","","","","0.00","0",""
"JANS0001","0","","","","0.00","0",""
"JAOK0001","10","","","","0.00","0",""
"JAUN0001","6","254111","Nurse","Y","804.17","69482","28/07/2023"
"JAUN0002","6","225113","Marketing specialist","Y","2030.54","138514","28/07/2023"
"JENN0001","10","","","","0.00","0",""
"JENS0001","10","","","","0.00","0",""
"JERT0001","10","","","","0.00","0",""
"JOHN0001","10","441312","Police officer","Y","1950.68","77984",""
"JOHN0002","10","","","","0.00","0",""
"JOHN0003","1","441312","Police officer","Y","1679.82","101214",""
"JOHN0004","0","","","","0.00","0",""
"JOHN0005","6","899914","Trades assistant or labourer","Y","2634.55","28645","07/08/2023"
"JONE0001","10","","","","0.00","0",""
"JONE0002","10","","","","0.00","0",""
"JONE0003","10","","","","0.00","0",""
"JONE0004","10","","","","0.00","0",""
"JONE0005","10","","","","0.00","0",""
"JONE0006","10","","","","0.00","0",""
"JONE0007","6","441312","Police officer","Y","972.11","106762","19/07/2023"
"JONE0008","0","","","","0.00","0",""
"JORD0001","10","","","","0.00","0",""
"KAJA0001","1","","","Y","426.50","40450",""
"KANE0001","10","","","","0.00","0",""
